LAUGHTER,2
BREATHING,3
GARBAGE,4
LIPSMACK,5
k_B,6
l_I,7
ih_I,8
r_I,9
iy_E,10
sh_B,11
s_B,12
eh_I,13
z_E,14
w_B,15
uh_I,16
d_E,17
n_B,18
v_I,19
er_E,20
r_B,21
z_I,22
ao_I,23
t_E,24
t_B,25
ih_E,26
ah_I,27
ch_E,28
d_B,29
ay_I,30
s_I,31
ih_B,32
ey_I,33
f_B,34
n_I,35
dh_B,36
ah_E,37
m_E,38
eh_B,39
iy_I,40
th_I,41
ng_E,42
n_E,43
m_I,44
f_I,45
r_E,46
b_B,47
m_B,48
t_I,49
ng_I,50
l_E,51
hh_B,52
d_I,53
b_I,54
er_I,55
ow_E,56
ah_S,57
sh_I,58
p_E,59
ae_I,60
ah_B,61
y_B,62
uw_E,63
v_E,64
g_B,65
s_E,66
ow_I,67
oov_S,68
hh_I,69
k_E,70
aw_I,71
k_I,72
jh_B,73
aa_I,74
ae_B,75
ao_B,76
p_B,77
ay_E,78
th_B,79
uw_I,80
ch_I,81
p_I,82
v_B,83
ey_E,84
er_S,85
jh_I,86
ay_S,87
w_I,88
ow_B,89
l_B,90
aw_B,91
y_I,92
g_E,93
zh_I,94
aa_B,95
th_E,96
sh_E,97
f_E,98
g_I,99
ch_B,100
jh_E,101
ey_S,102
ay_B,103
iy_B,104
er_B,105
dh_I,106
b_E,107
oy_I,108
aw_E,109
ey_B,110
z_B,111
ao_E,112
oy_E,113
dh_E,114
aa_E,115
iy_S,116
zh_E,117
ow_S,118
oy_B,119
zh_B,120
ae_E,121
aa_S,122
uw_S,123
ao_S,124
eh_S,125
m_S,126
uw_B,127
